"StrategyName"	"UD_ScreenCosts"	"UD_TriageCosts"	"UD_EarlyTreatmentCosts"	"UD_LateTreatmentCosts"	"D_ScreenCosts"	"D_TriageCosts"	"D_EarlyTreatmentCosts"	"D_LateTreatmentCosts"	"N_CancerDeaths"	"N_Overdiagnosed"	"N_ClinicalCases"
"50_50_1"	9564100	2190000	3430000	83660000	833989.52	190968	299096	4576684	2525	6	4526
"51_51_1"	9524300	2248000	3430000	83760000	791469.33	186808.8	285033	4607944	2535	11	4531
"52_52_1"	9485900	2282000	3450000	83760000	750334.69	180506.2	272895	4630984	2533	13	4533
"53_53_1"	9447700	2281000	3310000	84060000	711411.81	171759.3	249243	4669316	2533	14	4534
"54_54_1"	9410400	2258000	3720000	83260000	674725.68	161898.6	266724	4638778	2522	15	4535
"55_55_1"	9368400	2191000	3790000	83200000	639861.72	149645.3	258857	4655870	2518	19	4539
"56_56_1"	9312900	2190000	3930000	82960000	606269.79	142569	255843	4662934	2518	21	4541
"57_57_1"	9253400	2187000	3970000	82960000	573710.8	135594	246140	4680656	2509	25	4545
"58_58_1"	9198000	2189000	4250000	82460000	542682	129151	250750	4674966	2499	28	4548
"59_59_1"	9141300	2271000	4510000	81920000	513741.06	127630.2	253462	4666162	2489	27	4547
"60_60_1"	9082400	2239000	4410000	82180000	485908.4	119786.5	235935	4697832	2484	30	4550
"61_61_1"	9002100	2245000	4600000	81840000	459107.1	114495	234600	4697422	2485	32	4552
"62_62_1"	8918400	2197000	4440000	82240000	433434.24	106774.2	215784	4731698	2500	36	4556
"63_63_1"	8839000	2194000	4580000	82080000	408361.8	101362.8	211596	4739806	2497	42	4562
"64_64_1"	8760700	2193000	4730000	81920000	385470.8	96492	208120	4748724	2510	49	4569
"65_65_1"	8681200	2176000	4950000	81660000	363742.28	91174.4	207405	4753126	2504	58	4578
"66_66_1"	8560100	2189000	4890000	81880000	341547.99	87341.1	195111	4775768	2503	63	4583
"67_67_1"	8444000	2190000	4950000	81780000	320872	83220	188100	4783580	2489	64	4584
"68_68_1"	8325800	2125000	4840000	82120000	301393.96	76925	175208	4805268	2502	70	4590
"69_69_1"	8205000	2082000	4630000	82560000	283072.5	71829	159735	4830496	2513	71	4591
"70_70_1"	8084600	2144000	4910000	82320000	265983.34	70537.6	161539	4833230	2499	87	4607
"71_71_1"	7897400	2045000	4730000	82660000	247188.62	64008.5	148049	4851580	2490	86	4606
"72_72_1"	7716100	1948000	4430000	82920000	229939.78	58050.4	132014	4867582	2498	69	4589
"73_73_1"	7532800	1986000	4320000	83360000	213931.52	56402.4	122688	4886230	2518	80	4600
"74_74_1"	7358800	1888000	4340000	83420000	198687.6	50976	117180	4894034	2513	85	4605
"75_75_1"	7186000	1847000	4250000	83760000	185398.8	47652.6	109650	4909096	2530	93	4613
"76_76_1"	6925800	1884000	4500000	83680000	169682.1	46158	110250	4913434	2530	114	4634
"77_77_1"	6657500	1770000	4450000	83760000	155785.5	41418	104130	4921598	2533	113	4633
"78_78_1"	6389600	1672000	4370000	83760000	141849.12	37118.4	97014	4926856	2529	105	4625
"79_79_1"	6124100	1643000	4060000	84380000	129830.92	34831.6	86072	4943432	2551	105	4625
"80_80_1"	5858200	1622000	4250000	84140000	118335.64	32764.4	85850	4943720	2540	112	4632
"81_81_1"	5502000	1535000	3970000	84840000	105638.4	29472	76224	4959684	2563	119	4639
"82_82_1"	5151700	1352000	3610000	85480000	94276.11	24741.6	66063	4973390	2569	115	4635
"83_83_1"	4803200	1299000	3410000	85740000	83575.68	22602.6	59334	4980428	2574	108	4628
"84_84_1"	4446600	1207000	3320000	8.6e+07	73813.56	20036.2	55112	4986688	2582	112	4632
"85_85_1"	4102700	1139000	3e+06	86980000	64822.66	17996.2	47400	5003144	2610	129	4649
"86_86_1"	3725000	1052000	3150000	86920000	56247.5	15885.2	47565	5004378	2605	141	4661
"87_87_1"	3347900	892000	2560000	87760000	47874.97	12755.6	36608	5017062	2628	124	4644
"88_88_1"	2973800	803000	2300000	88040000	40741.06	11001.1	31510	5021834	2630	112	4632
"89_89_1"	2602400	707000	1940000	88500000	33831.2	9191	25220	5028350	2637	99	4619
"90_90_1"	2232700	616000	1690000	88680000	27685.48	7638.4	20956	5031132	2645	83	4603
"91_91_1"	1948400	538000	1590000	8.9e+07	22991.12	6348.4	18762	5035258	2654	89	4609
"92_92_1"	1670600	476000	1440000	89120000	18710.72	5331.2	16128	5036920	2654	80	4600
"93_93_1"	1390400	417000	1200000	89420000	14877.28	4461.9	12840	5040342	2660	71	4591
"94_94_1"	1108800	323000	990000	89780000	11309.76	3294.6	10098	5044052	2665	68	4588
"95_95_1"	833600	233000	670000	9e+07	8085.92	2260.1	6499	5046300	2670	47	4567
"96_96_1"	665200	171000	580000	90160000	6119.84	1573.2	5336	5047772	2674	46	4566
"97_97_1"	497200	158000	420000	90280000	4375.36	1390.4	3696	5048836	2676	36	4556
"98_98_1"	329000	90000	220000	90320000	2763.6	756	1848	5049172	2676	18	4538
"99_99_1"	163000	34000	1e+05	90400000	1304	272	800	5049812	2676	10	4530
"100_100_1"	0	0	0	90400000	0	0	0	5049812	2676	0	4520
"25_50_1"	254114600	52083000	11480000	67720000	43727320.7	8929384.8	1569385	2592828	2161	14	4534
"25_50_5"	58651300	12431000	7860000	74880000	10295851.74	2141852.6	969987	3524940	2316	10	4530
"25_55_1"	301205900	61979000	15540000	59940000	47284172.89	9677307.8	1875185	2124242	1998	31	4551
"25_55_2"	155472600	32418000	14020000	62920000	24553431.96	5061212.4	1654878	2464386	2058	28	4548
"25_55_3"	106877800	22632000	12780000	65400000	16981853.3	3530536.1	1482781	2734706	2110	28	4548
"25_55_5"	68008600	14517000	10600000	69700000	10934955.33	2284326.4	1157129	3240900	2202	25	4545
"25_55_6"	58270300	12444000	9900000	71100000	9426068.5	1961708.9	1080003	3367024	2238	25	4545
"25_55_10"	38808300	8403000	8140000	74600000	6427790.69	1346106.9	866352	3692772	2313	24	4544
"25_60_1"	347023100	71432000	20380000	50760000	49996425.89	10236449.8	2161428	1688328	1790	56	4576
"25_60_5"	77077700	16628000	13730000	63800000	11420152.18	2397264.9	1324584	2989532	2065	43	4563
"25_60_7"	57747700	12920000	11770000	67620000	8677018.95	1870026.4	1126556	3304532	2155	38	4558
"25_65_1"	391034200	80616000	25470000	41540000	52037738.88	10662506.4	2396515	1343868	1607	104	4624
"25_65_2"	200245800	42120000	22920000	46480000	26864761.99	5561644.4	2109837	1786212	1706	96	4616
"25_65_4"	104810900	22783000	18950000	54240000	14290994.23	3019801.6	1686252	2447124	1882	87	4607
"25_65_5"	85743500	18655000	17190000	57680000	11783249.2	2482196.2	1469558	2781224	1950	83	4603
"25_65_8"	57038500	12740000	13890000	64160000	8031703.79	1723448.9	1178617	3247026	2106	77	4597
"25_65_10"	47484900	10535000	12650000	66580000	6791340.23	1435437.7	1055321	3421588	2158	74	4594
"25_70_1"	432450300	89412000	30350000	32960000	53543223.61	10982131.9	2573936	1089464	1402	163	4683
"25_70_3"	150246100	32436000	24650000	4.4e+07	18950649.39	3973571.9	2017292	1953084	1645	145	4665
"25_70_5"	93809700	20624000	20350000	52380000	12048627.18	2546976.3	1573522	2640300	1828	134	4654
"25_70_9"	56042800	12693000	15370000	6.2e+07	7468791.86	1591198.1	1173801	3266490	2052	117	4637
"25_75_1"	469951400	97328000	34440000	26180000	54612946.66	11207920.6	2690505	930822	1243	233	4753
"25_75_2"	239353000	50769000	30790000	33220000	28110199.54	5837019	2360680	1440748	1401	220	4740
"25_75_5"	100979100	22313000	23020000	48120000	12233597.7	2590552.5	1642408	2550386	1732	188	4708
"25_75_10"	54665200	12330000	16380000	60700000	6976591.97	1481748.7	1151555	3297424	2026	153	4673
"25_80_1"	501729500	104238000	39260000	18900000	55324475.17	11362676.3	2798474	795482	1084	351	4871
"25_80_5"	106824300	23809000	26010000	43680000	12351670.74	2620771.7	1702806	2475466	1639	265	4785
"25_85_1"	525590000	109391000	42780000	14560000	55744039.78	11453283.4	2860192	729968	980	486	5006
"25_85_2"	266418700	56989000	38020000	23280000	28647414.48	5960381.2	2504258	1272568	1188	446	4966
"25_85_3"	179978600	39448000	34220000	30280000	19620847.99	4131454	2227288	1697036	1345	416	4936
"25_85_4"	136722800	30469000	31060000	36060000	15112024.89	3216057.2	1987809	2061614	1487	389	4909
"25_85_5"	110916600	24850000	28030000	41500000	12416329.08	2637219.5	1734722	2445940	1593	358	4878
"25_85_6"	93421700	21132000	25680000	45480000	10612899.96	2252201.1	1594333	2651354	1694	322	4842
"25_85_10"	58764800	13439000	19080000	57620000	7041365.65	1499270.9	1194215	3255520	1967	269	4789
"25_90_1"	540374300	112533000	45140000	11820000	55949066.66	11496859.5	2893099	696588	925	585	5105
"25_90_5"	113143300	25410000	29160000	40280000	12443940.16	2644163.5	1748734	2432614	1571	410	4930
"25_95_1"	547276800	114043000	46260000	10960000	56024503.76	11513351.3	2905382	688112	912	654	5174
"25_95_2"	276486200	59256000	40780000	20440000	28774382.6	5988883.9	2539044	1240580	1136	580	5100
"25_95_5"	113974500	25619000	29590000	40020000	12452002.8	2646190.8	1752905	2430358	1569	440	4960
"25_95_7"	82823400	19226000	24570000	48560000	9350123.27	2038306.7	1459580	2870160	1751	365	4885
"25_95_10"	59597500	13663000	19660000	57240000	7049442.84	1501443.7	1199841	3252184	1962	308	4828
"25_100_1"	548919900	114387000	46490000	10940000	56038966.4	11516376.9	2907402	687944	912	676	5196
"25_100_3"	186477800	40987000	36690000	28160000	19699915.34	4150067.8	2257147	1673666	1308	557	5077
"25_100_5"	113974500	25619000	29590000	40020000	12452002.8	2646190.8	1752905	2430358	1569	440	4960
"30_50_1"	204640400	42179000	11480000	67720000	30444958.84	6270034.2	1569385	2592828	2161	14	4534
"30_50_2"	107215800	22579000	10260000	70100000	16016806.05	3359693.3	1368646	2907508	2217	11	4531
"30_50_4"	58491200	12517000	8710000	73200000	8809654.16	1864861.4	1108636	3311628	2290	11	4531
"30_50_5"	48749200	10498000	7860000	74880000	7371761.61	1571037.7	969987	3524940	2316	10	4530
"30_50_10"	29227700	6376000	5080000	80380000	4509849.76	963906.2	547644	4194426	2454	7	4527
"30_55_1"	251731700	52075000	15540000	59940000	34001811.03	7017957.2	1875185	2124242	1998	31	4551
"30_55_5"	58106500	12584000	10600000	69700000	8010865.2	1713511.5	1157129	3240900	2202	25	4545
"30_60_1"	297548900	61528000	20380000	50760000	36714064.03	7577099.2	2161428	1688328	1790	56	4576
"30_60_2"	153581100	32559000	18240000	54940000	19068665.12	4017343.4	1888181	2115306	1881	51	4571
"30_60_3"	105577000	22710000	16270000	58780000	13190281.83	2807646.4	1653904	2484784	1962	46	4566
"30_60_5"	67175600	14695000	13730000	63800000	8496062.05	1826450	1324584	2989532	2065	43	4563
"30_60_6"	57546200	12729000	12530000	66120000	7323366.3	1577414.7	1184170	3212256	2126	39	4559
"30_60_10"	38306500	8580000	9140000	72820000	4995565.56	1081820.2	764854	3871096	2278	35	4555
"30_65_1"	341560000	70712000	25470000	41540000	38755377.02	8003155.8	2396515	1343868	1607	104	4624
"30_65_5"	75841400	16722000	17190000	57680000	8859159.07	1911381.3	1469558	2781224	1950	83	4603
"30_65_7"	56792900	12677000	14560000	62900000	6733016.89	1458182.6	1194078	3221236	2077	81	4601
"30_70_1"	382976100	79508000	30350000	32960000	40260861.75	8322781.3	2573936	1089464	1402	163	4683
"30_70_2"	196073600	41917000	27150000	39140000	20790204.87	4395803.9	2247849	1596896	1543	152	4672
"30_70_4"	102571100	22625000	22230000	48760000	11063603.36	2378625.6	1779161	2328206	1754	141	4661
"30_70_5"	83907600	18691000	20350000	52380000	9124537.05	1976161.4	1573522	2640300	1828	134	4654
"30_70_8"	55752000	12783000	15990000	60780000	6220960.92	1360809.7	1165910	3266134	2022	118	4638
"30_70_10"	46385400	10669000	13500000	65640000	5261361.37	1150548.3	908298	3678856	2123	112	4632
"30_75_1"	420477200	87424000	34440000	26180000	41330584.8	8548570	2690505	930822	1243	233	4753
"30_75_3"	145960300	31802000	27370000	39620000	14634264.32	3132616.5	2049352	1925774	1538	198	4718
"30_75_5"	91077000	20380000	23020000	48120000	9309507.57	2019737.6	1642408	2550386	1732	188	4708
"30_75_9"	54277800	12441000	16250000	61020000	5771681.61	1260370.9	1043706	3479928	2023	156	4676
"30_80_1"	452255300	94334000	39260000	18900000	42042113.31	8703325.7	2798474	795482	1084	351	4871
"30_80_2"	230175800	49541000	35140000	26600000	21645055.12	4586288.8	2444334	1339908	1258	324	4844
"30_80_5"	96922200	21876000	26010000	43680000	9427580.61	2049956.8	1702806	2475466	1639	265	4785
"30_80_10"	52238800	12243000	17270000	60020000	5379600.05	1182343.1	984452	3583916	2000	208	4728
"30_85_1"	476115800	99487000	42780000	14560000	42461677.92	8793932.8	2860192	729968	980	486	5006
"30_85_5"	101014500	22917000	28030000	41500000	9492238.95	2066404.6	1734722	2445940	1593	358	4878
"30_90_1"	490900100	102629000	45140000	11820000	42666704.8	8837508.9	2893099	696588	925	585	5105
"30_90_2"	248612300	53675000	40250000	20620000	21936351.72	4651496.4	2524591	1258478	1128	536	5056
"30_90_3"	167795000	36931000	35350000	29080000	15029625.71	3225495.7	2193852	1761112	1321	469	4989
"30_90_4"	127354700	28502000	32360000	34760000	11580824.03	2500535.6	1983443	2083098	1445	454	4974
"30_90_5"	103241200	23477000	29160000	40280000	9519850.03	2073348.6	1748734	2432614	1571	410	4930
"30_90_6"	86840600	19885000	26470000	44620000	8136844.84	1774866.4	1557049	2718252	1658	358	4878
"30_90_10"	54469300	12839000	18760000	58440000	5407258.25	1189733.5	1002928	3566780	1973	278	4798
"30_95_1"	497802600	104139000	46260000	10960000	42742141.9	8854000.7	2905382	688112	912	654	5174
"30_95_5"	104072400	23686000	29590000	40020000	9527912.67	2075375.9	1752905	2430358	1569	440	4960
"30_100_1"	499445700	104483000	46490000	10940000	42756604.54	8857026.3	2907402	687944	912	676	5196
"30_100_2"	252363900	54517000	41300000	19940000	21975029.24	4660208.8	2535575	1251878	1117	607	5127
"30_100_5"	104072400	23686000	29590000	40020000	9527912.67	2075375.9	1752905	2430358	1569	440	4960
"30_100_7"	75719800	17467000	24700000	48640000	7163283.5	1565512.9	1413581	2949212	1759	382	4902
"30_100_10"	54469300	12839000	18760000	58440000	5407258.25	1189733.5	1002928	3566780	1973	278	4798
"35_50_1"	155331200	32112000	10870000	68940000	20068910.57	4149793.2	1415624	2827480	2188	14	4534
"35_50_3"	58283600	12459000	9130000	72340000	7578494.18	1618905.6	1158891	3226094	2259	10	4530
"35_50_5"	38866800	8517000	7860000	74880000	5084974.25	1112634.3	969987	3524940	2316	10	4530
"35_55_1"	202422500	42008000	14930000	61160000	23625762.76	4897716.2	1721424	2358894	2025	31	4551
"35_55_2"	106062400	22508000	13610000	63740000	12431986.35	2634754.1	1548647	2622426	2076	28	4548
"35_55_4"	57859400	12590000	11370000	68180000	6839290.54	1482806	1258637	3082072	2174	26	4546
"35_55_5"	48224100	10603000	10600000	69700000	5724077.84	1255108.1	1157129	3240900	2202	25	4545
"35_55_10"	28906200	6470000	8140000	74600000	3503700.56	775292	866352	3692772	2313	24	4544
"35_60_1"	248239700	51461000	19770000	51980000	26338015.76	5456858.2	2007667	1922980	1817	56	4576
"35_60_5"	57293200	12714000	13730000	63800000	6209274.69	1368046.6	1324584	2989532	2065	43	4563
"35_65_1"	292250800	60645000	24860000	42760000	28379328.75	5882914.8	2242754	1578520	1634	104	4624
"35_65_2"	150835600	32210000	22510000	47300000	14743316.38	3135186.1	2003606	1944252	1724	96	4616
"35_65_3"	103680600	22589000	20420000	51380000	10201251.8	2203868.5	1791186	2277352	1817	91	4611
"35_65_5"	65959000	14741000	17190000	57680000	6572371.71	1452977.9	1469558	2781224	1950	83	4603
"35_65_6"	56487100	12896000	15880000	60200000	5665711.31	1271765.9	1350529	2965876	2012	78	4598
"35_65_10"	37582800	8602000	12650000	66580000	3867250.1	864622.8	1055321	3421588	2158	74	4594
"35_70_1"	333666900	69441000	29740000	34180000	29884813.48	6202540.3	2420175	1324116	1429	163	4683
"35_70_5"	74025200	16710000	20350000	52380000	6837749.69	1517758	1573522	2640300	1828	134	4654
"35_70_7"	55387700	12741000	17380000	58200000	5197837.11	1166216.5	1334863	3019972	1957	128	4648
"35_75_1"	371168000	77357000	33830000	27400000	30954536.53	6428329	2536744	1165474	1270	233	4753
"35_75_2"	189942800	40859000	30380000	34040000	15988753.93	3410560.7	2254449	1598788	1419	220	4740
"35_75_4"	99269600	22211000	25130000	44040000	8511067.35	1870738.1	1810074	2286822	1636	195	4715
"35_75_5"	81194600	18399000	23020000	48120000	7022720.21	1561334.2	1642408	2550386	1732	188	4708
"35_75_8"	53843600	12553000	18580000	56440000	4789055.79	1079727.7	1305387	3062898	1928	160	4680
"35_75_10"	44763100	10397000	16380000	60700000	4052501.84	910933.8	1151555	3297424	2026	153	4673
"35_80_1"	402946100	84267000	38650000	20120000	31666065.04	6583084.7	2644713	1030134	1111	351	4871
"35_80_3"	139656400	30885000	31490000	33520000	11219222.68	2437616.6	2098165	1865784	1412	305	4825
"35_80_5"	87039800	19895000	26010000	43680000	7140793.25	1591553.4	1702806	2475466	1639	265	4785
"35_80_9"	51655800	12244000	18780000	57080000	4429682.26	1007715.7	1209981	3232702	1919	212	4732
"35_85_1"	426806600	89420000	42170000	15780000	32085629.65	6673691.8	2706431	964620	1007	486	5006
"35_85_2"	217008500	47079000	37610000	24100000	16525968.87	3533922.9	2398027	1430608	1206	446	4966
"35_85_5"	91132100	20936000	28030000	41500000	7205451.59	1608001.2	1734722	2445940	1593	358	4878
"35_85_10"	48862700	11506000	19080000	57620000	4117275.52	928456	1194215	3255520	1967	269	4789
"35_90_1"	441590900	92562000	44530000	13040000	32290656.53	6717267.9	2739338	931240	952	585	5105
"35_90_5"	93358800	21496000	29160000	40280000	7233062.67	1614945.2	1748734	2432614	1571	410	4930
"35_95_1"	448493400	94072000	45650000	12180000	32366093.63	6733759.7	2751621	922764	939	654	5174
"35_95_2"	227076000	49346000	40370000	21260000	16652936.99	3562425.6	2432813	1398620	1154	580	5100
"35_95_3"	153232200	34093000	36510000	28040000	11418813.65	2484743	2171474	1794870	1294	533	5053
"35_95_4"	116273800	26311000	32370000	34920000	8802540.47	1941105.6	1933041	2149810	1455	463	4983
"35_95_5"	94190000	21705000	29590000	40020000	7241125.31	1616972.5	1752905	2430358	1569	440	4960
"35_95_6"	79236000	18523000	26810000	44680000	6193151.05	1401491	1596210	2663294	1658	395	4915
"35_95_10"	49695400	11730000	19660000	57240000	4125352.71	930628.8	1199841	3252184	1962	308	4828
"35_100_1"	450136500	94416000	45880000	12160000	32380556.27	6736785.3	2753641	922596	939	676	5196
"35_100_5"	94190000	21705000	29590000	40020000	7241125.31	1616972.5	1752905	2430358	1569	440	4960
"40_50_1"	106295600	22208000	9010000	72640000	11985270.98	2512052.3	1052553	3405620	2271	13	4533
"40_50_2"	58006600	12544000	8220000	74180000	6554247.92	1422357.7	946617	3572926	2305	11	4531
"40_50_5"	29027300	6453000	6800000	76980000	3300849.75	736317.5	756673	3861852	2369	9	4529
"40_50_10"	19345300	4395000	5080000	80380000	2223062.4	505502.8	547644	4194426	2454	7	4527
"40_55_1"	153386900	32104000	13070000	64860000	15542123.17	3259975.3	1358353	2937034	2108	30	4550
"40_55_3"	57553000	12693000	10990000	68980000	5870158.53	1297618.2	1114174	3319896	2192	28	4548
"40_55_5"	38384600	8539000	9540000	71800000	3939953.34	878791.3	943815	3577812	2255	24	4544
"40_60_1"	199204100	41557000	17910000	55680000	18254376.17	3819117.3	1644596	2501120	1900	55	4575
"40_60_2"	104371900	22524000	16200000	59020000	9606106.99	2080007.8	1466152	2780724	1969	51	4571
"40_60_4"	56929800	12785000	13370000	64540000	5286456.3	1187087.6	1182608	3227580	2087	44	4564
"40_60_5"	47453700	10650000	12670000	65900000	4425150.19	991729.8	1111270	3326444	2118	42	4562
"40_60_10"	28424100	6599000	9140000	72820000	2708778.2	623416.8	764854	3871096	2278	35	4555
"40_65_1"	243215200	50741000	2.3e+07	46460000	20295689.16	4245173.9	1879683	2156660	1717	103	4623
"40_65_5"	56119500	12677000	16130000	59780000	4788247.21	1076661.1	1256244	3118136	2003	82	4602
"40_70_1"	284631300	59537000	27880000	37880000	21801173.89	4564799.4	2057104	1902256	1512	162	4682
"40_70_2"	146864400	31882000	25110000	43220000	11327646.74	2458468.3	1825820	2262314	1631	152	4672
"40_70_3"	100921300	22497000	22860000	47580000	7838954.62	1740654	1648685	2538274	1727	145	4665
"40_70_5"	64185700	14646000	19290000	54480000	5053625.19	1141441.2	1360208	2977212	1881	133	4653
"40_70_6"	54931500	12890000	17710000	57600000	4355840.56	1013770.2	1242038	3170396	1953	131	4651
"40_70_10"	36503000	8688000	13500000	65640000	2974574.01	692144.9	908298	3678856	2123	112	4632
"40_75_1"	322132400	67453000	31970000	31100000	22870896.94	4790588.1	2173673	1743614	1353	232	4752
"40_75_5"	71355100	16335000	21960000	50220000	5238595.71	1185017.4	1429094	2887298	1785	187	4707
"40_75_7"	53312200	12541000	18670000	56340000	3981054.35	922460.4	1187174	3254592	1923	164	4684
"40_80_1"	353910500	74363000	36790000	23820000	23582425.45	4945343.8	2281642	1608274	1194	350	4870
"40_80_2"	180966600	39506000	33100000	30680000	12182496.99	2648953.2	2022305	2005326	1346	324	4844
"40_80_4"	94419600	21643000	26980000	42120000	6488250.63	1468896.5	1608241	2643062	1597	284	4804
"40_80_5"	77200300	17831000	24950000	45780000	5356668.75	1215236.6	1489492	2812378	1692	264	4784
"40_80_8"	51017300	12136000	19370000	55880000	3652144.67	849942.7	1121356	3371474	1915	211	4731
"40_80_10"	42356400	10262000	17270000	60020000	3092812.69	723939.7	984452	3583916	2000	208	4728
"40_85_1"	377771000	79516000	40310000	19480000	24001990.06	5035950.9	2343360	1542760	1090	485	5005
"40_85_3"	130653800	29509000	32430000	33860000	8509153.22	1898536.1	1858681	2282226	1427	416	4936
"40_85_5"	81292600	18872000	26970000	43600000	5421327.09	1231684.4	1521408	2782852	1646	357	4877
"40_85_9"	48020900	11634000	19570000	57160000	3364890.6	788446	1073928	3471862	1946	295	4815
"40_90_1"	392555300	82658000	42670000	16740000	24207016.94	5079527	2376267	1509380	1035	584	5104
"40_90_2"	199403100	43640000	38210000	24700000	12473793.59	2714160.8	2102562	1923896	1216	536	5056
"40_90_5"	83519300	19432000	28100000	42380000	5448938.17	1238628.4	1535420	2769526	1624	409	4929
"40_90_10"	44586900	10858000	18760000	58440000	3120470.89	731330.1	1002928	3566780	1973	278	4798
"40_95_1"	399457800	84168000	43790000	15880000	24282454.04	5096018.8	2388550	1500904	1022	653	5173
"40_95_5"	84350500	19641000	28530000	42120000	5457000.81	1240655.7	1539591	2767270	1622	439	4959
"40_100_1"	401100900	84512000	44020000	15860000	24296916.68	5099044.4	2390570	1500736	1022	675	5195
"40_100_2"	203154700	44482000	39260000	24020000	12512471.11	2722873.2	2113546	1917296	1205	607	5127
"40_100_3"	137153000	31048000	34900000	31740000	8588220.57	1917149.9	1888540	2258856	1390	557	5077
"40_100_4"	104142000	23967000	31290000	37580000	6627156.88	1502120.7	1669152	2585580	1505	488	5008
"40_100_5"	84350500	19641000	28530000	42120000	5457000.81	1240655.7	1539591	2767270	1622	439	4959
"40_100_6"	71059600	16945000	26040000	4.7e+07	4671232.38	1093082.5	1401129	2992076	1720	434	4954
"40_100_10"	44586900	10858000	18760000	58440000	3120470.89	731330.1	1002928	3566780	1973	278	4798
"45_50_1"	57650200	12160000	6770000	77100000	5701319.38	1206312.2	701700	3948826	2373	12	4532
"45_50_5"	19251600	4299000	5660000	79260000	1912444.45	428013.3	570431	4146756	2424	9	4529
"45_55_1"	104741500	22056000	10830000	69320000	9258171.57	1954235.2	1007500	3480240	2210	29	4549
"45_55_2"	57165500	12358000	1e+07	70940000	5064756.78	1097172.3	921524	3611648	2243	27	4547
"45_55_5"	28608900	6385000	8400000	74080000	2551548.04	570487.1	757573	3862716	2310	24	4544
"45_55_10"	19062800	4368000	6700000	77460000	1718973.14	393149.4	594780	4123478	2384	23	4543
"45_60_1"	150558700	31509000	15670000	60140000	11970424.57	2513377.2	1293743	3044326	2002	54	4574
"45_60_3"	56492000	12506000	13010000	65280000	4522698.21	1002979.2	1059287	3407822	2106	45	4565
"45_60_5"	37678000	8496000	11530000	68180000	3036744.89	683425.6	925028	3611348	2173	42	4562
"45_65_1"	194569800	40693000	20760000	50920000	14011737.56	2939433.8	1528830	2699866	1819	102	4622
"45_65_2"	101938700	22060000	18900000	54500000	7376086.81	1597604.3	1376483	2933474	1891	95	4615
"45_65_4"	55595400	12595000	15980000	60180000	4061072.35	918168.1	1144744	3293934	2016	87	4607
"45_65_5"	46343800	10523000	14990000	62060000	3399841.91	768356.9	1070002	3403040	2058	82	4602
